Airline,Date_of_Journey,Source,Dep_Time,Destination,Class,Price
IndiGo,24/03/2019,Banglore,22:20,New Delhi,0,3897
Air India,1/05/2019,Kolkata,05:50,Banglore,0,7662
Jet Airways,9/06/2019,Delhi,09:25,Cochin,0,13882
IndiGo,12/05/2019,Kolkata,18:05,Banglore,0,6218
IndiGo,01/03/2019,Banglore,16:50,New Delhi,0,13302
SpiceJet,24/06/2019,Kolkata,09:00,Banglore,0,3873
Jet Airways,12/03/2019,Banglore,18:55,New Delhi,0,11087
Jet Airways,01/03/2019,Banglore,08:00,New Delhi,0,22270
Jet Airways,12/03/2019,Banglore,08:55,New Delhi,0,11087
Multiple carriers,27/05/2019,Delhi,11:25,Cochin,0,8625
Air India,1/06/2019,Delhi,09:45,Cochin,0,8907
IndiGo,18/04/2019,Kolkata,20:20,Banglore,0,4174
Air India,24/06/2019,Chennai,11:40,Kolkata,0,4667
Jet Airways,9/05/2019,Kolkata,21:10,Banglore,0,9663
IndiGo,24/04/2019,Kolkata,17:15,Banglore,0,4804
Air India,3/03/2019,Delhi,16:40,Cochin,0,14011
SpiceJet,15/04/2019,Delhi,08:45,Cochin,0,5830
Jet Airways,12/06/2019,Delhi,14:00,Cochin,0,10262
Air India,12/06/2019,Delhi,20:15,Cochin,0,13381
Jet Airways,27/05/2019,Delhi,16:00,Cochin,0,12898
GoAir,6/03/2019,Delhi,14:10,Cochin,0,19495
Air India,21/03/2019,Banglore,22:00,New Delhi,0,6955
IndiGo,3/04/2019,Banglore,04:00,Delhi,0,3943
IndiGo,1/05/2019,Banglore,18:55,Delhi,0,4823
Jet Airways,6/05/2019,Kolkata,18:55,Banglore,0,7757
Jet Airways,9/06/2019,Delhi,21:25,Cochin,0,13292
IndiGo,1/06/2019,Delhi,21:50,Cochin,0,8238
GoAir,15/05/2019,Delhi,07:00,Cochin,0,7682
Vistara,18/06/2019,Banglore,09:45,Delhi,0,4668
Vistara,15/06/2019,Chennai,07:05,Kolkata,0,3687
Vistara,18/06/2019,Chennai,07:05,Kolkata,0,3687
Air India,1/05/2019,Kolkata,09:50,Banglore,0,13227
IndiGo,6/04/2019,Banglore,04:00,Delhi,0,4423
Jet Airways,15/06/2019,Delhi,14:35,Cochin,0,10919
Jet Airways,18/05/2019,Delhi,07:05,Cochin,0,12373
IndiGo,27/06/2019,Delhi,10:35,Cochin,0,5894
SpiceJet,21/05/2019,Kolkata,15:05,Banglore,0,4649
Air India,18/05/2019,Kolkata,14:15,Banglore,0,6245
Jet Airways,06/03/2019,Banglore,07:00,New Delhi,0,19225
Jet Airways,3/06/2019,Delhi,07:05,Cochin,0,14924
Multiple carriers,21/05/2019,Delhi,07:05,Cochin,0,9646
Air India,15/03/2019,Banglore,06:45,New Delhi,0,8714
Jet Airways,18/05/2019,Delhi,20:55,Cochin,0,12373
Air Asia,6/05/2019,Banglore,11:10,Delhi,0,3383
Multiple carriers,21/03/2019,Delhi,09:00,Cochin,0,13062
SpiceJet,24/03/2019,Banglore,05:45,New Delhi,0,3527
IndiGo,27/05/2019,Banglore,04:00,Delhi,0,3943
Air India,3/05/2019,Chennai,11:40,Kolkata,0,4667
Air India,15/05/2019,Kolkata,19:00,Banglore,0,6117
Jet Airways,27/06/2019,Delhi,23:05,Cochin,0,11150
Jet Airways,9/03/2019,Delhi,11:00,Cochin,0,7202
Jet Airways,1/05/2019,Kolkata,09:35,Banglore,0,12121
IndiGo,24/03/2019,Banglore,22:20,New Delhi,0,4377
IndiGo,18/06/2019,Banglore,21:15,Delhi,0,3943
Air Asia,3/04/2019,Banglore,23:55,Delhi,0,4483
Jet Airways,24/03/2019,Kolkata,19:45,Banglore,0,14231
Air India,01/03/2019,Banglore,08:50,New Delhi,0,17345
Vistara,6/03/2019,Chennai,07:05,Kolkata,0,7414
Multiple carriers,6/05/2019,Delhi,19:00,Cochin,0,8073
Vistara,6/03/2019,Mumbai,15:40,Hyderabad,0,12395
Air India,6/06/2019,Kolkata,09:25,Banglore,0,8366
Air India,3/04/2019,Delhi,06:05,Cochin,0,5117
Multiple carriers,3/06/2019,Delhi,08:45,Cochin,0,12524
IndiGo,15/05/2019,Delhi,15:00,Cochin,0,7191
Vistara,24/05/2019,Chennai,07:05,Kolkata,0,3687
IndiGo,24/06/2019,Delhi,10:35,Cochin,0,5894
Vistara,24/04/2019,Banglore,09:45,Delhi,0,5403
Air India,6/05/2019,Mumbai,13:55,Hyderabad,0,3625
Air India,21/05/2019,Delhi,05:55,Cochin,0,10861
IndiGo,12/03/2019,Chennai,13:20,Kolkata,0,6297
Jet Airways,1/06/2019,Mumbai,07:05,Hyderabad,0,5678
Jet Airways,09/03/2019,Banglore,05:45,New Delhi,0,9134
Multiple carriers,24/06/2019,Delhi,11:40,Cochin,0,10791
Jet Airways,24/06/2019,Delhi,23:05,Cochin,0,12819
IndiGo,21/03/2019,Delhi,05:05,Cochin,0,6893
Vistara,09/03/2019,Banglore,09:50,New Delhi,0,7240
GoAir,3/04/2019,Banglore,11:40,Delhi,0,3898
IndiGo,3/04/2019,Mumbai,06:25,Hyderabad,0,4049
Jet Airways,15/06/2019,Delhi,17:30,Cochin,0,10262
SpiceJet,21/03/2019,Chennai,08:20,Kolkata,0,3332
Jet Airways,9/06/2019,Kolkata,21:10,Banglore,0,10844
Jet Airways,24/03/2019,Banglore,19:55,New Delhi,0,7229
Jet Airways,6/05/2019,Kolkata,06:30,Banglore,0,13941
IndiGo,27/06/2019,Delhi,11:25,Cochin,0,5894
Multiple carriers,18/05/2019,Delhi,09:00,Cochin,0,10197
Jet Airways,06/03/2019,Banglore,14:05,New Delhi,0,13712
IndiGo,24/06/2019,Delhi,02:00,Cochin,0,5636
Jet Airways,6/06/2019,Delhi,09:40,Cochin,0,13014
Jet Airways,1/04/2019,Kolkata,08:25,Banglore,0,7064
Jet Airways,24/05/2019,Kolkata,20:25,Banglore,0,10703
Multiple carriers,27/05/2019,Delhi,13:15,Cochin,0,9646
Multiple carriers,6/03/2019,Delhi,02:15,Cochin,0,17057
Jet Airways,12/03/2019,Banglore,16:55,New Delhi,0,13817
Air India,6/03/2019,Delhi,05:55,Cochin,0,13748
Air India,21/04/2019,Kolkata,20:45,Banglore,0,4880
IndiGo,21/06/2019,Chennai,05:15,Kolkata,0,3540
SpiceJet,15/05/2019,Banglore,05:55,Delhi,0,3257
Jet Airways,3/06/2019,Banglore,19:50,Delhi,0,6478
Jet Airways,18/06/2019,Mumbai,07:05,Hyderabad,0,8040
Jet Airways,12/06/2019,Delhi,20:00,Cochin,0,14300
Jet Airways,15/05/2019,Kolkata,08:25,Banglore,0,14781
Jet Airways,9/06/2019,Kolkata,20:00,Banglore,0,14939
Jet Airways,24/06/2019,Delhi,20:55,Cochin,0,10262
Air India,12/05/2019,Kolkata,14:35,Banglore,0,6528
Air India,1/05/2019,Banglore,06:10,Delhi,0,6121
Jet Airways,18/05/2019,Delhi,19:30,Cochin,0,13029
Multiple carriers,27/03/2019,Delhi,11:40,Cochin,0,11421
Multiple carriers,27/03/2019,Delhi,04:45,Cochin,0,7574
Air India,9/05/2019,Delhi,12:55,Cochin,0,11596
Jet Airways,24/05/2019,Delhi,23:05,Cochin,0,15129
Jet Airways,18/03/2019,Banglore,14:05,New Delhi,0,13555
IndiGo,12/04/2019,Banglore,18:55,Delhi,0,5780
Vistara,12/05/2019,Kolkata,20:20,Banglore,0,9397
Jet Airways,6/03/2019,Delhi,18:15,Cochin,0,17024
GoAir,27/06/2019,Delhi,07:00,Cochin,0,5281
Multiple carriers,18/05/2019,Delhi,07:05,Cochin,0,10348
Air India,6/03/2019,Delhi,17:20,Cochin,0,12677
Multiple carriers,3/03/2019,Delhi,15:25,Cochin,0,15147
Vistara,12/06/2019,Banglore,07:00,Delhi,0,4668
Jet Airways,9/05/2019,Delhi,07:05,Cochin,0,15554
SpiceJet,9/04/2019,Banglore,05:55,Delhi,0,3971
Air India,3/05/2019,Mumbai,15:00,Hyderabad,0,3100
Jet Airways,6/05/2019,Kolkata,20:00,Banglore,0,9663
Air India,1/03/2019,Delhi,23:00,Cochin,0,27430
IndiGo,12/05/2019,Chennai,05:15,Kolkata,0,3540
Air India,21/05/2019,Kolkata,12:00,Banglore,0,10676
Jet Airways,12/06/2019,Kolkata,14:05,Banglore,0,13044
Jet Airways,6/05/2019,Kolkata,20:00,Banglore,0,14388
IndiGo,24/06/2019,Banglore,04:00,Delhi,0,3943
IndiGo,3/06/2019,Chennai,14:45,Kolkata,0,3597
Air India,21/03/2019,Banglore,11:50,New Delhi,0,5932
Jet Airways,15/06/2019,Delhi,11:30,Cochin,0,10262
Vistara,12/05/2019,Delhi,14:40,Cochin,0,6216
IndiGo,15/06/2019,Kolkata,20:25,Banglore,0,4804
Multiple carriers,21/05/2019,Delhi,11:30,Cochin,0,14067
Jet Airways,18/05/2019,Delhi,19:10,Cochin,0,15129
Jet Airways,6/06/2019,Delhi,06:45,Cochin,0,13376
Air India,27/06/2019,Delhi,22:00,Cochin,0,10441
